Event ID,Event Name,Event Description,Event Class,Event Information Source,Reference URL,Effective From Date,Effective To Date,From Time,To Time
441,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/22/2013,8/22/2013,7:30 PM,12:00 AM
365,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/21/2013,8/21/2013,12:30 PM,5:00 PM
457,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,,8/21/2013,1:00 PM,3:30 PM
431,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/20/2013,8/20/2013,7:00 PM,11:30 PM
430,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/19/2013,8/19/2013,7:00 PM,11:30 PM
456,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,8/18/2013,8/18/2013,1:00 PM,3:30 PM
642,Sunday Streets - Tenderloin Route,Sunday Streets,StrClose,,,,8/18/2013,10:30 AM,4:30 PM
455,Louis Vuitton Cup Finals,no street closures,PkDemandUp,,,8/17/2013,8/17/2013,1:00 PM,3:30 PM
581,La Cocina Street Food Festival,Fair,StrClose,,,,8/17/2013,5:00 AM,11:00 PM
485,Louis Vuitton Cup Semi-Finals,no street closures,PkDemandUp,,,8/14/2013,8/14/2013,1:00 PM,2:30 PM
482,Louis Vuitton Cup Semi-Finals,no street closures,PkDemandUp,,,8/13/2013,8/13/2013,1:00 PM,2:00 PM
381,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/11/2013,8/11/2013,1:00 PM,5:30 PM
484,Louis Vuitton Cup Semi-Finals,no street closures,PkDemandUp,,,,8/11/2013,1:00 PM,2:30 PM
380,Giants Home Game,Baseball game,PkDemandUp,Internet,http://sanfrancisco.giants.mlb.com/schedule/,8/10/2013,8/10/2013,1:00 PM,5:30 PM
483,Louis Vuitton Cup Semi-Finals,no street closures,PkDemandUp,,,,8/10/2013,1:00 PM,2:30 PM
